eb,qb,pair,peak_C,peak_lag_tau_b,C_at_zero_lag
0.4,0.2,lambda-rmin1,-0.1420850543751041,-900.0,-0.010214471772758284
0.4,0.2,lambda-rmin2,0.13221270110527866,840.0,0.10089722674652266
0.4,0.2,lambda-mdot1,0.43447240688790795,-1000.0,0.2477417597530328
0.4,0.2,lambda-mdot2,0.4432162045132841,-870.0,0.4177716662203775
0.4,0.2,rmin1-rmin2,0.3542145246463773,0.0,0.3542145246463773
0.4,0.2,mdot1-mdot2,0.9853393871613424,10.0,0.9828933406241389
0.4,0.2,mdot1-rmin1,-0.17099905989104833,-920.0,-0.1363690138880628
0.4,0.2,mdot1-rmin2,0.09744095650652503,680.0,0.04532612910807147
0.4,0.2,mdot2-rmin1,-0.17142840234367326,-660.0,-0.13080552194923256
0.4,0.2,mdot2-rmin2,0.10301278026210332,710.0,0.06218956074033372
0.4,0.2,lambda-alpha1,-0.14209378133008074,-820.0,0.0759329366908806
0.4,0.2,lambda-alpha2,-0.42984041340259926,-930.0,-0.4010945951925617
0.4,0.2,lambda-mass_disk1,0.4395881565217025,-880.0,0.2522881291227943
0.4,0.2,lambda-mass_disk2,0.428908013382033,-970.0,0.3998238721188148
0.5,0.2,lambda-rmin1,0.1352070097647271,860.0,0.02904439738798792
0.5,0.2,lambda-rmin2,-0.15811507568422337,-220.0,-0.04607957880080374
0.5,0.2,lambda-mdot1,0.3493540940323033,40.0,0.263327954819558
0.5,0.2,lambda-mdot2,0.47774432853285326,0.0,0.47774432853285326
0.5,0.2,rmin1-rmin2,0.3571780542012101,0.0,0.3571780542012101
0.5,0.2,mdot1-mdot2,0.9784455970362649,60.0,0.971797937000612
0.5,0.2,mdot1-rmin1,0.13353410479632907,100.0,0.12280558200793357
0.5,0.2,mdot1-rmin2,-0.3045199630162904,-990.0,-0.23004663145633472
0.5,0.2,mdot2-rmin1,0.1359276948388083,80.0,0.12014190567405808
0.5,0.2,mdot2-rmin2,-0.31113962980159326,-990.0,-0.22107090473520083
